 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  01/24/2024 23:16:41                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


282 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000172 0x11AAA088 0x00000004 0x11AAA078 0x00000024 0x00000000 new         N       N    ??(00000)::??
000612 0x10A3A140 0x00000064 0x10A3A130 0x00000084 0x00000000 new         N       N    ??(00000)::??
000670 0x231AA1A8 0x00000030 0x231AA198 0x00000050 0x00000004 new         N       N    ??(00000)::??
000743 0x231AA2A8 0x00000030 0x231AA298 0x00000050 0x00000008 new         N       N    ??(00000)::??
000183 0x10A3A2A0 0x00000064 0x10A3A290 0x00000084 0x00000000 new         N       N    ??(00000)::??
000315 0x11AAA358 0x00000004 0x11AAA348 0x00000024 0x00000000 new         N       N    ??(00000)::??
000741 0x231AA428 0x00000030 0x231AA418 0x00000050 0x00000008 new         N       N    ??(00000)::??
000529 0x11AAA448 0x00000004 0x11AAA438 0x00000024 0x00000000 new         N       N    ??(00000)::??
000458 0x11AAA4E8 0x00000004 0x11AAA4D8 0x00000024 0x00000000 new         N       N    ??(00000)::??
000623 0x231AA528 0x00000030 0x231AA518 0x00000050 0x00000004 new         N       N    ??(00000)::??
000386 0x11AAA538 0x00000004 0x11AAA528 0x00000024 0x00000000 new         N       N    ??(00000)::??
000244 0x11AAA588 0x00000004 0x11AAA578 0x00000024 0x00000000 new         N       N    ??(00000)::??
000700 0x231AA6A8 0x00000030 0x231AA698 0x00000050 0x00000000 new         N       N    ??(00000)::??
000694 0x231AA728 0x00000030 0x231AA718 0x00000050 0x00000004 new         N       N    ??(00000)::??
000574 0x2319A7A8 0x0000E580 0x2319A798 0x0000E5A0 0x0000D260 new[]       N       N    ??(00000)::??
000671 0x231AAA28 0x00000030 0x231AAA18 0x00000050 0x0000000C new         N       N    ??(00000)::??
000672 0x11AAAA38 0x00000004 0x11AAAA28 0x00000024 0x00000000 new         N       N    ??(00000)::??
000742 0x231AAAA8 0x00000030 0x231AAA98 0x00000050 0x00000008 new         N       N    ??(00000)::??
000504 0x11E6AB70 0x00002060 0x11E6AB60 0x00002080 0x00000AF0 new[]       N       N    ??(00000)::??
000669 0x231AAC28 0x00000030 0x231AAC18 0x00000050 0x0000000C new         N       N    ??(00000)::??
000617 0x231AAD80 0x00000154 0x231AAD70 0x00000174 0x00000018 new         N       N    ??(00000)::??
000601 0x11AAADA8 0x00000004 0x11AAAD98 0x00000024 0x00000000 new         N       N    ??(00000)::??
000625 0x231AAF20 0x000000D4 0x231AAF10 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000744 0x11AAAF38 0x00000004 0x11AAAF28 0x00000024 0x00000000 new         N       N    ??(00000)::??
000572 0x11F0AF98 0x00002E80 0x11F0AF88 0x00002EA0 0x00000000 new[]       N       N    ??(00000)::??
000287 0x230BB038 0x00054450 0x230BB028 0x00054470 0x00000000 new[]       N       N    ??(00000)::??
000117 0x117EB0D0 0x00000154 0x117EB0C0 0x00000174 0x00000018 new         N       N    ??(00000)::??
000602 0x1CABB740 0x000019DC 0x1CABB730 0x000019FC 0x00000000 new[]       N       N    ??(00000)::??
000144 0x118FBDF0 0x00000198 0x118FBDE0 0x000001B8 0x00000000 new[]       N       N    ??(00000)::??
000567 0x1CB7BEA0 0x00003960 0x1CB7BE90 0x00003980 0x00000000 new[]       N       N    ??(00000)::??
000440 0x23C4C050 0x001A4BD1 0x23C4C040 0x001A4BF1 0x00000000 new[]       N       N    ??(00000)::??
000357 0x1F49C050 0x000CF7E0 0x1F49C040 0x000CF800 0x00000000 new[]       N       N    ??(00000)::??
000297 0x1F19C050 0x001A4BD1 0x1F19C040 0x001A4BF1 0x00000000 new[]       N       N    ??(00000)::??
000245 0x1E20C050 0x009480E4 0x1E20C040 0x00948104 0x00000000 new[]       N       N    ??(00000)::??
000226 0x1D9CC050 0x00830591 0x1D9CC040 0x008305B1 0x00000000 new[]       N       N    ??(00000)::??
000638 0x2324C4F0 0x00005658 0x2324C4E0 0x00005678 0x00000000 new[]       N       N    ??(00000)::??
000126 0x0864C658 0x00000238 0x0864C648 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000242 0x11AAD000 0x00000020 0x11AACFF0 0x00000040 0x00000000 new         N       N    ??(00000)::??
000313 0x11AAD070 0x00000020 0x11AAD060 0x00000040 0x00000000 new         N       N    ??(00000)::??
000384 0x11AAD0E0 0x00000020 0x11AAD0D0 0x00000040 0x00000000 new         N       N    ??(00000)::??
000170 0x11AAD1C0 0x00000020 0x11AAD1B0 0x00000040 0x00000000 new         N       N    ??(00000)::??
000627 0x11AAD230 0x00000020 0x11AAD220 0x00000040 0x00000000 new         N       N    ??(00000)::??
000340 0x0864D300 0x00000238 0x0864D2F0 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000598 0x11AAD310 0x00000020 0x11AAD300 0x00000040 0x00000000 new         N       N    ??(00000)::??
000599 0x11AAD380 0x00000020 0x11AAD370 0x00000040 0x00000000 new         N       N    ??(00000)::??
000698 0x11AAD3F0 0x00000020 0x11AAD3E0 0x00000040 0x00000000 new         N       N    ??(00000)::??
000600 0x11AAD460 0x00000020 0x11AAD450 0x00000040 0x00000000 new         N       N    ??(00000)::??
000456 0x11AAD5B0 0x00000020 0x11AAD5A0 0x00000040 0x00000000 new         N       N    ??(00000)::??
000198 0x11AAD700 0x00000020 0x11AAD6F0 0x00000040 0x00000000 new         N       N    ??(00000)::??
000270 0x11AAD7E0 0x00000020 0x11AAD7D0 0x00000040 0x00000000 new         N       N    ??(00000)::??
000411 0x0864D810 0x00000238 0x0864D800 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000555 0x11AAD930 0x00000020 0x11AAD920 0x00000040 0x00000000 new         N       N    ??(00000)::??
000341 0x11AAD9A0 0x00000020 0x11AAD990 0x00000040 0x00000000 new         N       N    ??(00000)::??
000483 0x0864DA98 0x00000238 0x0864DA88 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000127 0x11AADAF0 0x00000020 0x11AADAE0 0x00000040 0x00000000 new         N       N    ??(00000)::??
000484 0x11AADB60 0x00000020 0x11AADB50 0x00000040 0x00000000 new         N       N    ??(00000)::??
000527 0x11AADBD0 0x00000020 0x11AADBC0 0x00000040 0x00000000 new         N       N    ??(00000)::??
000412 0x11AADCB0 0x00000020 0x11AADCA0 0x00000040 0x00000000 new         N       N    ??(00000)::??
000554 0x0864DD20 0x00000238 0x0864DD10 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000573 0x11F0DE68 0x00003960 0x11F0DE58 0x00003980 0x00000000 new[]       N       N    ??(00000)::??
000626 0x0864DFA8 0x00000238 0x0864DF98 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000124 0x11AAE008 0x00000008 0x11AADFF8 0x00000028 0x00000000 new         N       N    ??(00000)::??
000257 0x11AAE110 0x00000008 0x11AAE100 0x00000028 0x00000000 new         N       N    ??(00000)::??
000258 0x11AAE168 0x00000008 0x11AAE158 0x00000028 0x00000000 new         N       N    ??(00000)::??
000209 0x11AAE1C0 0x00000008 0x11AAE1B0 0x00000028 0x00000000 new         N       N    ??(00000)::??
000259 0x11AAE3D0 0x00000008 0x11AAE3C0 0x00000028 0x00000000 new         N       N    ??(00000)::??
000269 0x0864E4B8 0x00000238 0x0864E4A8 0x00000258 0x000000A0 new         N       N    ??(00000)::??
000114 0x11AAE638 0x00000008 0x11AAE628 0x00000028 0x00000000 new         N       N    ??(00000)::??
000474 0x1CC5E6A8 0x00000154 0x1CC5E698 0x00000174 0x00000018 new         N       N    ??(00000)::??
